"skuId","retailPrice","productName","armSkuName","skuName"
"DZH318Z08NRP/001B","7.2","Virtual Machines Lsv3 Series Windows","Standard_L48s_v3","Standard_L48s_v3"
"DZH318Z0BQPS/00TG","0.172725","Virtual Machines FS Series Windows","Standard_F16s","F16s Spot"
"DZH318Z08M9K/0088","0.0756","Virtual Machines Dlsv5 Series Windows","Standard_D2ls_v5","D2ls v5 Spot"
"DZH318Z08MC6/0076","0.02837","Virtual Machines Ddsv5 Series","Standard_D4ds_v5","Standard_D4ds_v5 Spot"
"DZH318Z0K9JF/020X","0.382","Virtual Machines Basv2 Series Windows","Standard_B8as_v2","B8as v2"
"DZH318Z0BQ4C/04LP","0.15939","Virtual Machines DSv2 Series","Standard_DS14-4_v2","DS14-4 v2 Spot"
"DZH318Z093WZ/011X","0.219","Virtual Machines Easv5 Series","Standard_E16-4as_v5","E16-4as v5 Low Priority"
"DZH318Z0D1L7/00WP","2.432","Virtual Machines Ev4 Series","Standard_E32_v4","E32 v4"
"DZH318Z0BQ4R/02CR","1.28","Virtual Machines ESv3 Series","Standard_E16-4s_v3","E16-4s v3"
"DZH318Z0BQ4R/01N9","1.28","Virtual Machines ESv3 Series","Standard_E16-8s_v3","E16-8s v3"
"DZH318Z0BQ4L/00LK","1.28","Virtual Machines Ev3 Series","Standard_E16_v3","E16 v3"
"DZH318Z0BQ4R/00DW","1.28","Virtual Machines ESv3 Series","Standard_E16s_v3","E16s v3"
"DZH318Z09LQP/0044","1.043078","Virtual Machines Ebdsv5 Series","Standard_E64bds_v5","Standard_E64bds_v5 Spot"
"DZH318Z0CM92/017Q","0.39","Virtual Machines Easv4 Series Windows","Standard_E8-4as_v4","E8-4as_v4 Low Priority"
"DZH318Z0BPVM/00G1","0.0533","Virtual Machines Dv2 Series Windows","Standard_D1_v2","D1 v2 Low Priority"
"DZH318Z0BQPW/00MD","0.0533","Virtual Machines DSv2 Series Windows","Standard_DS1_v2","DS1 v2 Low Priority"
"DZH318Z0CSHB/009W","0.424424","Virtual Machines Edsv4 Series Windows","Standard_E32ds_v4","E32ds v4 Spot"
"DZH318Z08NR0/002K","0.368","DCsv3 Series Linux","Standard_DC16s_v3","standard_DC16s_v3 Low Priority"
"DZH318Z0BPVT/00B3","0.206","Virtual Machines F Series Windows","Standard_F2","F2"
"DZH318Z0BQPS/007F","0.206","Virtual Machines FS Series Windows","Standard_F2s","F2s"
"DZH318Z093WX/0162","0.533012","Virtual Machines Eadsv5 Series Windows","Standard_E32-16ads_v5","E32-16ads v5 Spot"
"DZH318Z0BPW1/0158","0.041843","Virtual Machines Av2 Series Windows","Standard_A4m_v2","A4m v2 Spot"
"DZH318Z09LR4/007D","0.864","Virtual Machines Ebsv5 Series Windows","Standard_E16bs_v5","Standard_E16bs_v5 Low Priority"
"DZH318Z092S8/004J","1.709","Virtual Machines Epsv5 Series Windows","Standard_E16ps_v5","Standard_E16ps_v5"
"DZH318Z096SR/02DS","0.760973","Virtual Machines Esv5 Series","Standard_E96-24s_v5","E96-24s v5 Spot"
"DZH318Z09B62/0027","3.327983","ECadsv5-series Linux","Standard_EC96iads_v5","Standard_EC96iads_v5 Spot"
"DZH318Z0K9JF/022L","0.0524","Virtual Machines Basv2 Series Windows","Standard_B2als_v2","B2als v2"
"DZH318Z08M9K/008N","0.605","Virtual Machines Dlsv5 Series Windows","Standard_D16ls_v5","D16ls v5 Low Priority"
"DZH318Z092S8/004W","0.342","Virtual Machines Epsv5 Series Windows","Standard_E8ps_v5","Standard_E8ps_v5 Low Priority"
"DZH318Z09LR5/00ZV","1.796067","Virtual Machines Ebsv5 Series","Standard_E112ibs_v5","Standard_E112ibs_v5 Spot"
"DZH318Z0K7B3/017K","0","Virtual Machines Msv3 Medium Memory Series Windows","Standard_M176s_3_v3","Standard_M176s_3_v3 Spot"
"DZH318Z0CM93/0004","0.331","Virtual Machines Dasv4 Series Windows","Standard_D8as_v4","D8as v4 Low Priority"
"DZH318Z0CM94/0007","0.331","Virtual Machines Dav4 Series Windows","Standard_D8a_v4","D8a v4 Low Priority"
"DZH318Z0CM92/017W","0.099357","Virtual Machines Easv4 Series Windows","Standard_E8-2as_v4","E8-2as_v4 Spot"
"DZH318Z08M9H/00K3","0.488","Virtual Machines Ev5 Series Windows","Standard_E4_v5","Standard_E4_v5"
"DZH318Z0CSHK/03NR","1.384","Virtual Machines Edsv4 Series","Standard_E80ids_v4","E80ids v4 Low Priority"
"DZH318Z08MC6/006M","0.340435","Virtual Machines Ddsv5 Series","Standard_D48ds_v5","Standard_D48ds_v5 Spot"
"DZH318Z0K9JF/0218","0.1372","Virtual Machines Basv2 Series Windows","Standard_B8als_v2","B8als v2 Spot"
"DZH318Z0BPW5/021X","1.9036","Virtual Machines MS Series Windows","Standard_M64ms","M64ms Spot"
"DZH318Z093X0/0163","5.056","Virtual Machines Eadsv5 Series","Standard_E64ads_v5","E64ads v5"
"DZH318Z0CM94/003L","0.168581","Virtual Machines Dav4 Series Windows","Standard_D16a_v4","D16a v4 Spot"
"DZH318Z093WX/017B","0.8","Virtual Machines Eadsv5 Series Windows","Standard_E16ads_v5","E16ads v5 Low Priority"
"DZH318Z0BPRB/00PX","0.006214","Virtual Machines A Series Basic","Basic_A0","A0 Spot"
"DZH318Z0BPW4/00GP","0.23478","Virtual Machines DS Series Windows","Standard_DS14","DS14 Spot"
"DZH318Z0BPVN/00VT","5.855","Virtual Machines ESv3 Series Windows","Standard_E48s_v3","E48s v3"
"DZH318Z0BPWH/00VW","5.855","Virtual Machines Ev3 Series Windows","Standard_E48_v3","E48 v3"
"DZH318Z0BQPS/00T0","0.08631","Virtual Machines FS Series Windows","Standard_F8s","F8s Spot"
"DZH318Z0BQ4C/05GL","0.039795","Virtual Machines DSv2 Series","Standard_DS12_v2","DS12 v2 Spot"
"DZH318Z09B5Z/002J","0.8518","DCadsv5-series Linux","Standard_DC32ads_v5","Standard_DC32ads_v5 Spot"
"DZH318Z096SN/0377","0.866107","Virtual Machines Edsv5 Series","Standard_E96-24ds_v5","E96-24ds v5 Spot"
"DZH318Z0CM29/0049","0.0304","Virtual Machines Eav4 Series","Standard_E4a_v4","E4a v4 Spot"
"DZH318Z096T1/05DW","1.952","Virtual Machines Esv5 Series Windows","Standard_E16-8s_v5","E16-8s v5"
"DZH318Z096T1/05DP","1.952","Virtual Machines Esv5 Series Windows","Standard_E16s_v5","E16s v5"
"DZH318Z096T1/05D2","1.952","Virtual Machines Esv5 Series Windows","Standard_E16-4s_v5","E16-4s v5"
"DZH318Z0BQ4B/00ZD","0.01764","Virtual Machines D Series","Standard_D2","D2 Spot"
"DZH318Z08M9J/00K7","0.973","Virtual Machines Ev5 Series","Standard_E64_v5","Standard_E64_v5 Low Priority"
"DZH318Z09JCN/00KH","0.832","Virtual Machines NVadsA10v5 Series","Standard_NV18ads_A10_v5","Standard_NV18ads_A10_v5 Spot"
"DZH318Z0CF0K/0033","0.184","Virtual Machines DCSv2 Series","Standard_DC8_v2","DC8 v2 Low Priority"
"DZH318Z0K801/005P","0.1384","Virtual Machines ECedsv5 Series","Standard_EC4eds_v5","EC4edsv5 Spot"
"DZH318Z09B62/005Z","0.296","ECadsv5-series Linux","Standard_EC4ads_v5","Standard_EC4ads_v5"
"DZH318Z08MC6/006T","0.014185","Virtual Machines Ddsv5 Series","Standard_D2ds_v5","Standard_D2ds_v5 Spot"
"DZH318Z0CSHL/0008","0.015246","Virtual Machines Esv4 Series","Standard_E2s_v4","E2s v4 Spot"
"DZH318Z0CSHC/00CM","0.781","Virtual Machines Esv4 Series Windows","Standard_E16s_v4","E16s v4 Low Priority"
"DZH318Z0CF0K/004J","0.023","Virtual Machines DCSv2 Series","Standard_DC1s_v2","DC1s v2 Low Priority"
"DZH318Z0DF49/0022","0.94","Virtual Machines NCasT4 v3 Series","Standard_NC8as_T4_v3","NC8as T4 v3"
"DZH318Z0CSHC/005L","0.781581","Virtual Machines Esv4 Series Windows","Standard_E64-16s_v4","E64-16s v4 Spot"
"DZH318Z09LQP/006Q","0.199","Virtual Machines Ebdsv5 Series","Standard_E2bds_v5","Standard_E2bds_v5"
"DZH318Z0CM29/002S","2.432","Virtual Machines Eav4 Series","Standard_E32a_v4","E32a v4"
"DZH318Z0CM2D/000H","2.432","Virtual Machines Easv4 Series","Standard_E32as_v4","E32as v4"
"DZH318Z09B5X/000Z","0.09242","DCadsv5-series Windows","Standard_DC2ads_v5","Standard_DC2ads_v5 Spot"
