"skuId","reservationTerm","retailPrice","productName","armSkuName","skuName"
"DZH318Z0D1L7/01RJ","3 Years","24287","Virtual Machines Ev4 Series","Standard_E32_v4","E32 v4"
"DZH318Z0D1L7/01RN","1 Year","12570","Virtual Machines Ev4 Series","Standard_E32_v4","E32 v4"
"DZH318Z0BQ4L/003W","3 Years","12652","Virtual Machines Ev3 Series","Standard_E16_v3","E16 v3"
"DZH318Z0BQ4R/003L","1 Year","6595","Virtual Machines ESv3 Series","Standard_E16s_v3","E16s v3"
"DZH318Z0BQ4L/003V","1 Year","6595","Virtual Machines Ev3 Series","Standard_E16_v3","E16 v3"
"DZH318Z0BQ4R/01N7","1 Year","6595","Virtual Machines ESv3 Series","Standard_E16-8s_v3","E16-8s v3"
"DZH318Z0BQ4R/02CS","3 Years","12652","Virtual Machines ESv3 Series","Standard_E16-4s_v3","E16-4s v3"
"DZH318Z0BQ4R/003M","3 Years","12652","Virtual Machines ESv3 Series","Standard_E16s_v3","E16s v3"
"DZH318Z0BQ4R/01N8","3 Years","12652","Virtual Machines ESv3 Series","Standard_E16-8s_v3","E16-8s v3"
"DZH318Z0BQ4R/02CW","1 Year","6595","Virtual Machines ESv3 Series","Standard_E16-4s_v3","E16-4s v3"
"DZH318Z093X0/03ZN","3 Years","50491","Virtual Machines Eadsv5 Series","Standard_E64ads_v5","E64ads v5"
"DZH318Z093X0/03ZK","1 Year","26131","Virtual Machines Eadsv5 Series","Standard_E64ads_v5","E64ads v5"
"DZH318Z09B62/0099","1 Year","2074","ECadsv5-series Linux","Standard_EC4ads_v5","Standard_EC4ads_v5"
"DZH318Z09B62/009B","3 Years","4667","ECadsv5-series Linux","Standard_EC4ads_v5","Standard_EC4ads_v5"
"DZH318Z0DF49/001K","1 Year","5270","Virtual Machines NCasT4 v3 Series","Standard_NC8as_T4_v3","NC8as T4 v3"
"DZH318Z0DF49/000V","3 Years","9387","Virtual Machines NCasT4 v3 Series","Standard_NC8as_T4_v3","NC8as T4 v3"
"DZH318Z09LQP/00WV","1 Year","1029","Virtual Machines Ebdsv5 Series","Standard_E2bds_v5","Standard_E2bds_v5"
"DZH318Z09LQP/00WX","3 Years","1987","Virtual Machines Ebdsv5 Series","Standard_E2bds_v5","Standard_E2bds_v5"
